model,task_no,vectorizer,ngram,max_iter,C,gamma,tree_param,n_estimator,lrate,test_accuracy,wall_time,run_time
DecisionTree,1,cbow,1,0,,,full_tree,0,0,0.6427889207258835,4.576340436935425,2024-11-20 16:33:07
DecisionTree,2,cbow,1,0,,,stop_grow,0,0,0.6427889207258835,4.736180067062378,2024-11-20 16:33:13
DecisionTree,3,cbow,1,0,,,post_prune,0,0,0.6427889207258835,4.394891262054443,2024-11-20 16:33:18
DecisionTree,4,tfidf,1,0,,,full_tree,0,0,0.6638013371537727,6.115664720535278,2024-11-20 16:33:25
DecisionTree,5,tfidf,1,0,,,stop_grow,0,0,0.6638013371537727,6.450395345687866,2024-11-20 16:33:33
DecisionTree,6,tfidf,1,0,,,post_prune,0,0,0.6638013371537727,6.29841160774231,2024-11-20 16:33:40
DecisionTree,7,cbow,2,0,,,full_tree,0,0,0.6504297994269341,55.759538412094116,2024-11-20 16:34:39
DecisionTree,8,cbow,2,0,,,stop_grow,0,0,0.6504297994269341,57.15705108642578,2024-11-20 16:35:42
DecisionTree,9,cbow,2,0,,,post_prune,0,0,0.6504297994269341,58.2590217590332,2024-11-20 16:36:46
DecisionTree,10,tfidf,2,0,,,full_tree,0,0,0.6485195797516714,54.008827924728394,2024-11-20 16:37:47
DecisionTree,11,tfidf,2,0,,,stop_grow,0,0,0.6485195797516714,70.99748539924622,2024-11-20 16:39:04
DecisionTree,12,tfidf,2,0,,,post_prune,0,0,0.6485195797516714,71.81705164909363,2024-11-20 16:40:23
DecisionTree,13,cbow,3,0,,,full_tree,0,0,0.6542502387774594,121.74158787727356,2024-11-20 16:42:36
DecisionTree,14,cbow,3,0,,,stop_grow,0,0,0.6542502387774594,121.60188341140747,2024-11-20 16:44:49
DecisionTree,15,cbow,3,0,,,post_prune,0,0,0.6542502387774594,122.8022518157959,2024-11-20 16:47:03
DecisionTree,16,tfidf,3,0,,,full_tree,0,0,0.6332378223495702,137.9878990650177,2024-11-20 16:49:34
DecisionTree,17,tfidf,3,0,,,stop_grow,0,0,0.6332378223495702,126.34248948097229,2024-11-20 16:51:52
DecisionTree,18,tfidf,3,0,,,post_prune,0,0,0.6332378223495702,143.52959966659546,2024-11-20 16:54:26
