model,task_no,vectorizer,ngram,max_iter,C,gamma,n_estimator,lrate,test_accuracy,wall_time,run_time
LogisticRegression,1,cbow,1,100000,,,0,0,0.744030564,5.71274519,11/19/2024 16:54
LogisticRegression,2,tfidf,1,100000,,,0,0,0.755491882,0.182206869,11/19/2024 16:54
LogisticRegression,3,cbow,2,100000,,,0,0,0.755491882,8.019632339,11/19/2024 16:54
LogisticRegression,4,tfidf,2,100000,,,0,0,0.774594078,1.42116785,11/19/2024 16:54
LogisticRegression,5,cbow,3,100000,,,0,0,0.76408787,16.84115148,11/19/2024 16:55
LogisticRegression,6,tfidf,3,100000,,,0,0,0.768863419,4.600595713,11/19/2024 16:55
LinearSVM,1,cbow,1,100000,,,0,0,0.714422159,6.58137536,11/19/2024 17:07
LinearSVM,2,tfidf,1,100000,,,0,0,0.734479465,0.245895624,11/19/2024 17:07
LinearSVM,3,cbow,2,100000,,,0,0,0.731614136,25.82237029,11/19/2024 17:07
LinearSVM,4,tfidf,2,100000,,,0,0,0.773638968,0.433129549,11/19/2024 17:07
LinearSVM,5,cbow,3,100000,,,0,0,0.727793696,57.95153952,11/19/2024 17:08
LinearSVM,6,tfidf,3,100000,,,0,0,0.778414518,1.110268831,11/19/2024 17:09
